Structure	Frequency
PUNCT(PUNCT-punct)	2
NOUN(DET-det, NOUN-nmod)	2
NOUN(PROPN-compound)	2
VERB(PUNCT-punct, VERB-advcl)	2
CCONJ(VERB-conj)	2
CCONJ(NOUN-conj)	2
NOUN(ADJ-amod, AUX-cop, NOUN-nsubj, PUNCT-punct)	2
ADJ(NOUN-nsubj)	2
ADJ(ADV-advmod)	2
NOUN(PROPN-appos)	2
VERB(NOUN-xcomp, PUNCT-punct)	2
NOUN(NOUN-nsubj, PUNCT-punct)	2
PROPN(PROPN-nmod)	2
ADJ(AUX-cop, NOUN-nsubj, NOUN-obl)	1
ADJ(AUX-cop, NOUN-nsubj)	1
NOUN(AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj)	1
NOUN(ADJ-amod, AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj)	1
VERB(NOUN-nsubj, SCONJ-amod)	1
CCONJ(PUNCT-punct, VERB-parataxis)	1
CCONJ(NOUN-parataxis, PUNCT-punct)	1
CCONJ(ADJ-parataxis, PUNCT-punct)	1
NOUN(X-nmod)	1
CCONJ(NOUN-dep, PUNCT-punct)	1
X()	1
VERB(AUX-aux, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	1
VERB(AUX-aux, NOUN-nsubj:pass, NOUN-obl, NOUN-obl, PUNCT-punct)	1
VERB(AUX-aux, NOUN-nsubj, PROPN-obl, PUNCT-punct)	1
NOUN(AUX-cop, NOUN-nsubj, PUNCT-punct)	1
ADV(PUNCT-punct)	1
ADJ(ADV-advmod, AUX-cop, NOUN-nsubj, PUNCT-punct)	1
ADJ(AUX-cop, NOUN-nsubj, PUNCT-punct, PUNCT-punct)	1
NOUN(AUX-cop, NOUN-nmod, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-nsubj, PUNCT-punct)	1
VERB(NOUN-iobj, NOUN-nsubj, PRON-expl, PUNCT-punct)	1
VERB(AUX-aux:pass, NOUN-iobj, NOUN-nsubj:pass, PUNCT-punct)	1
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PRON-obj, PUNCT-punct)	1
PART(PROPN-compound)	1
PART(NOUN-compound)	1
VERB(PART-nsubj, PUNCT-punct, VERB-xcomp)	1
PART(VERB-compound)	1
PART(PART-compound)	1
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, PUNCT-punct, VERB-parataxis)	1
VERB(VERB-nsubj)	1
VERB(NOUN-obj, PART-nsubj, PUNCT-punct)	1
VERB(PART-nsubj, PUNCT-punct, VERB-ccomp)	1
VERB(NOUN-nsubj, PART-obj, PUNCT-punct)	1
VERB(NOUN-obj, VERB-parataxis)	1
VERB(ADV-advmod, NOUN-obj)	1
VERB(VERB-obj)	1
VERB(NOUN-obj, VERB-nsubj)	1
VERB(NOUN-nsubj, VERB-obj)	1
NOUN(VERB-amod)	1
VERB(NOUN-obl:tmod)	1
VERB(NOUN-obj, NOUN-obj)	1
VERB(VERB-flat:vv)	1
VERB(VERB-csubj)	1
VERB(NOUN-nsubj, NOUN-obj, VERB-parataxis)	1
VERB(NOUN-nsubj, NOUN-obl, PRON-expl, PUNCT-punct, VERB-conj)	1
VERB(PROPN-nsubj, PUNCT-punct, VERB-xcomp)	1
VERB(NOUN-nsubj, PROPN-obj, PUNCT-punct)	1
VERB(NOUN-obj, NOUN-obl, PROPN-nsubj, PUNCT-punct, PUNCT-punct)	1
NOUN(PUNCT-punct, PUNCT-punct, VERB-acl)	1
NOUN(AUX-cop, NOUN-nsubj:cop, PUNCT-punct)	1
NOUN(AUX-cop, PROPN-acl:relcl, PUNCT-punct, VERB-acl)	1
VERB(NOUN-conj, NOUN-conj, NOUN-conj, NOUN-obl, PRON-nsubj, PROPN-obl, PUNCT-punct)	1
PROPN(ADJ-obl, AUX-cop, NOUN-nsubj:cop, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obj, NOUN-obl:mod, PUNCT-punct)	1
VERB(ADV-advmod, NOUN-nsubj, PUNCT-punct, VERB-xcomp)	1
VERB(NOUN-obj, NOUN-obl:mod, PROPN-nsubj, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obl:mod, PUNCT-punct, VERB-xcomp)	1
VERB(NOUN-nsubj, PUNCT-punct, VERB-obj)	1
VERB(NOUN-nsubj, NOUN-obl, PRON-dep, PUNCT-punct)	1
VERB(ADV-case, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-aux)	1
NOUN(CCONJ-cc, NOUN-dep)	1
NOUN(AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1
VERB(ADV-case, PRON-nsubj)	1
VERB(ADV-case, NOUN-obj, PUNCT-punct)	1
VERB(AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, NOUN-obl, PUNCT-punct)	1
VERB(NOUN-obj, NOUN-obl, PRON-nsubj, PUNCT-punct)	1
PROPN(PROPN-flat:name)	1
VERB(ADP-compound:prt, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1
VERB(ADJ-advmod, AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	1
VERB(ADJ-obl, ADP-obj, NOUN-obl)	1
NOUN(ADJ-obl)	1
ADV(ADV-advmod)	1
ADV(ADJ-obl)	1
PRON(ADJ-obl)	1
ADV(NOUN-iobj)	1
PRON(ADV-nsubj)	1
PRON(NOUN-obl)	1
ADJ(NOUN-nmod, NOUN-nmod)	1
PRON(ADJ-nsubj)	1
NOUN(ADJ-nsubj, NOUN-nmod, NOUN-nmod, NOUN-nmod)	1
NOUN(ADJ-obl, ADP-obl, NOUN-conj, NOUN-nmod, NOUN-obl)	1
ADJ(ADJ-obl, NOUN-nmod)	1
VERB(NOUN-nsubj:pass, NOUN-obl, PUNCT-punct, VERB-advcl)	1
NOUN(NOUN-compound:smixut)	1
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, PUNCT-punct, VERB-conj)	1
VERB(AUX-aux, NOUN-obj)	1
VERB(AUX-aux, NOUN-obl)	1
VERB(PUNCT-punct, VERB-nsubj)	1
VERB(AUX-aux:pass, AUX-aux:pass, NOUN-obj, NOUN-obl, PUNCT-punct)	1
ADJ(AUX-cop, NOUN-nmod, PROPN-nsubj, PUNCT-punct)	1
VERB(ADJ-compound, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1
ADJ(AUX-cop, NOUN-nmod, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1
NOUN(ADJ-amod:att)	1
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1
VERB(NOUN-nmod:obl, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1
NOUN(NOUN-nmod:att)	1
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct, VERB-conj)	1
VERB(NOUN-nmod:obl, NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1
VERB(NOUN-nmod:obl, NOUN-obj, PUNCT-punct)	1
ADJ(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct)	1
VERB(NOUN-nmod:obl, NOUN-nsubj, PUNCT-punct, PUNCT-punct)	1
VERB(NOUN-nmod:obl, NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-conj)	1
NOUN(PROPN-nmod:att)	1
VERB(NOUN-obl, PROPN-nsubj:pass, PUNCT-punct)	1
VERB(ADV-advmod, NOUN-obj, PROPN-nsubj, PUNCT-punct)	1
PROPN(PROPN-flat)	1
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct, VERB-conj)	1
VERB(NOUN-obj, PROPN-nsubj, PUNCT-punct, PUNCT-punct, VERB-advcl)	1
NOUN(DET-det, PUNCT-punct)	1
NOUN(PROPN-nmod, PUNCT-punct)	1
PROPN(DET-det, PUNCT-punct)	1
NOUN(NOUN-nmod, PUNCT-punct)	1
PROPN(DET-det, PROPN-parataxis)	1
NOUN(NOUN-compound, NOUN-compound)	1
VERB(AUX-aux, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1
VERB(AUX-aux, AUX-aux, NOUN-nsubj, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, NOUN-obj, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, AUX-aux, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, NOUN-nsubj, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, NOUN-obj, PUNCT-punct, VERB-advcl)	1
VERB(AUX-aux, NOUN-obl, NOUN-obl, PUNCT-punct, VERB-advcl)	1
VERB(NOUN-obl, NOUN-obl, PUNCT-punct)	1
ADJ(NOUN-obl, PUNCT-punct)	1
VERB(NOUN-obl, NOUN-obl, NOUN-obl, PUNCT-punct)	1
VERB(NOUN-obl, PUNCT-punct, VERB-advcl)	1
ADJ(PUNCT-punct)	1
ADJ(NOUN-obl, NOUN-obl, PUNCT-punct)	1
VERB(NOUN-obl, PRON-obl, PUNCT-punct)	1
ADJ(ADJ-advmod)	1
VERB(NOUN-obl, PUNCT-punct, VERB-obl)	1
VERB(NOUN-obl, NOUN-obl, PRON-obl, PUNCT-punct)	1
VERB(ADJ-obl, NOUN-obl, PUNCT-punct)	1
CCONJ(NOUN-obj, VERB-conj)	1
ADJ(NOUN-dislocated, NOUN-nsubj, PUNCT-punct)	1
VERB(ADV-advcl, NOUN-dislocated, PUNCT-punct)	1
VERB(NOUN-dislocated, NOUN-obj, PUNCT-punct)	1
VERB(NOUN-dislocated, PUNCT-punct, VERB-ccomp)	1
VERB(ADV-advcl, PUNCT-punct)	1
CCONJ(NOUN-nsubj, VERB-conj)	1
CCONJ(NOUN-obj, PUNCT-punct, VERB-conj)	1
VERB(ADV-advcl, NOUN-dislocated, NOUN-obj, PUNCT-punct)	1
CCONJ(ADV-advcl, VERB-conj)	1
NOUN(ADJ-nmod)	1
NOUN(NOUN-orphan, PUNCT-punct)	1
NOUN(VERB-acl)	1
NOUN(NOUN-conj, NOUN-conj, NOUN-conj)	1
VERB(NOUN-nsubj:pass, NOUN-obl:arg, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obl:arg, PUNCT-punct, VERB-conj)	1
VERB(NOUN-nsubj, NOUN-obl, PRON-cop, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-xcomp)	1
VERB(PUNCT-punct, VERB-xcomp)	1
NOUN(NOUN-list, PUNCT-punct)	1
VERB(NOUN-nsubj, NOUN-obj, VERB-conj)	1
VERB(NOUN-obj, PUNCT-punct, VERB-advcl)	1
