Language	Lang fam	Max sim	Min sim	Avg sim
Marathi	Indo-European languages, Indo-Iranian languages	0.7654 Latin, 0.751 Swedish, 0.7034 Danish	0.1182 Classical Chinese, 0.1364 Wolof, 0.171 Arabic	0.5598
Dutch	Indo-European languages, Germanic languages	0.8995 Danish, 0.8991 Swedish, 0.8983 Italian	0.0595 Classical Chinese, 0.2045 Arabic, 0.2045 Kazakh	0.6747
Japanese	Japonic / Japanese-Ryukyuan languages, Japonic / Japanese-Ryukyuan languages	0.7693 Korean, 0.7279 Basque, 0.7053 Estonian	0.055 Classical Chinese, 0.1566 Arabic, 0.2256 Wolof	0.5224
Polish	Indo-European languages, Slavic languages	0.911 Czech, 0.8912 Slovak, 0.8092 Ukrainian	0.0384 Classical Chinese, 0.1486 Wolof, 0.1688 Kazakh	0.6075
Portuguese	Indo-European languages, Romance languages	0.675 English, 0.6615 French, 0.6597 Catalan	0.0397 Classical Chinese, 0.134 Kazakh, 0.1522 Arabic	0.4898
Romanian	Indo-European languages, Romance languages	0.8673 Catalan, 0.8673 Italian, 0.8441 Serbian	0.053 Classical Chinese, 0.2113 Arabic, 0.2124 Kazakh	0.6428
Russian	Indo-European languages, Slavic languages	0.901 Ukrainian, 0.8828 Belarusian, 0.8795 Latvian	0.0338 Classical Chinese, 0.1379 Wolof, 0.1505 Sanskrit	0.5564
Sanskrit	Indo-European languages, Indo-Iranian languages	0.6537 Old Church Slavonic, 0.3507 Marathi, 0.2914 Latin	0.0505 Classical Chinese, 0.0609 Arabic, 0.0618 Indonesian	0.2367
Slovak	Indo-European languages, Slavic languages	0.9457 Czech, 0.8912 Polish, 0.8482 Italian	0.0618 Classical Chinese, 0.1962 Kazakh, 0.21 Sanskrit	0.6412
Slovenian	Indo-European languages, Slavic languages	0.8772 Croatian, 0.862 Serbian, 0.8479 Italian	0.054 Classical Chinese, 0.1994 Wolof, 0.2037 Arabic	0.6318
Serbian	Indo-European languages, Slavic languages	0.9458 Croatian, 0.862 Slovenian, 0.8614 Italian	0.0576 Classical Chinese, 0.1826 Kazakh, 0.1829 Wolof	0.6299
Finnish	Uralic languages, Finnic languages	0.9302 Estonian, 0.8966 Danish, 0.8668 Swedish	0.0598 Classical Chinese, 0.1693 Wolof, 0.1966 Arabic	0.6498
Swedish	Indo-European languages, Germanic languages	0.9208 Danish, 0.8991 Dutch, 0.8815 Estonian	0.0647 Classical Chinese, 0.1779 Wolof, 0.215 Arabic	0.6841
