Structure	Frequency	% of Lang
ADJ(ADV-advmod, NOUN-nsubj)	1	1.72%
ADJ(NOUN-obl)	1	1.72%
NOUN(ADJ-nsubj)	1	1.72%
ADJ(ADJ-conj, NOUN-nsubj)	1	1.72%
ADJ(ADV-nsubj)	1	1.72%
NOUN(ADJ-conj, ADV-advmod)	1	1.72%
ADJ(ADJ-acl)	1	1.72%
ADJ(NOUN-nsubj, NOUN-nsubj)	1	1.72%
NOUN(ADJ-acl, ADV-advmod)	1	1.72%
ADJ(ADJ-conj, ADV-advmod)	1	1.72%
NOUN(ADV-advmod, NOUN-nsubj)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, NOUN-obl, PRON-expl:pv, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PRON-expl, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-obj, PROPN-nsubj, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-conj)	1	1.72%
PROPN(AUX-cop, NOUN-nsubj:cop, PUNCT-punct)	1	1.72%
VERB(AUX-aux:pass, NOUN-obj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-obj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj:pass, NOUN-obl:agent, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-nsubj, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-obl, PUNCT-punct, VERB-ccomp)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
ADV(VERB-conj)	1	1.72%
PRON(PUNCT-punct)	1	1.72%
NOUN(PROPN-nmod:poss)	1	1.72%
ADJ(NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
ADV(PUNCT-punct, VERB-csubj)	1	1.72%
VERB(NOUN-nsubj, NOUN-xcomp:sp, PUNCT-punct)	1	1.72%
VERB(ADJ-compound)	1	1.72%
ADP(NOUN-nsubj)	1	1.72%
VERB(ADJ-compound, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
PROPN(PROPN-nmod, PUNCT-punct)	1	1.72%
PRON(AUX-cop, NOUN-nsubj, VERB-acl)	1	1.72%
VERB(VERB-nsubj, VERB-obj)	1	1.72%
PROPN(PROPN-nmod, PROPN-nmod)	1	1.72%
NOUN(NOUN-appos)	1	1.72%
NUM(NOUN-nsubj, PUNCT-punct)	1	1.72%
NOUN(NOUN-amod, NOUN-nsubj, X-nmod)	1	1.72%
VERB(NOUN-compound, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
NOUN(NOUN-amod, NOUN-nmod)	1	1.72%
VERB(NOUN-advmod, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, X-advmod)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-aux:pass)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, X-advmod)	1	1.72%
VERB(NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct, PUNCT-punct, X-advmod)	1	1.72%
NOUN(NOUN-conj, PUNCT-punct)	1	1.72%
VERB(NOUN-obj, VERB-parataxis)	1	1.72%
VERB(ADV-advmod, NOUN-obj)	1	1.72%
VERB(VERB-obj)	1	1.72%
VERB(ADV-advmod, NOUN-nsubj)	1	1.72%
VERB(NOUN-obj, VERB-nsubj)	1	1.72%
VERB(ADV-advmod, NOUN-nsubj, NOUN-obj)	1	1.72%
VERB(VERB-ccomp)	1	1.72%
VERB(NOUN-nsubj, VERB-obj)	1	1.72%
NOUN(VERB-amod)	1	1.72%
VERB(NOUN-obl:tmod)	1	1.72%
VERB(NOUN-obj, NOUN-obj)	1	1.72%
VERB(VERB-flat:vv)	1	1.72%
VERB(VERB-csubj)	1	1.72%
VERB(NOUN-nsubj, NOUN-obj, VERB-parataxis)	1	1.72%
NOUN(VERB-acl:relcl)	1	1.72%
NOUN(DET-det, VERB-acl:relcl)	1	1.72%
NOUN(PROPN-appos, PROPN-nmod)	1	1.72%
PROPN(NOUN-conj)	1	1.72%
PROPN(PROPN-conj)	1	1.72%
NOUN(NOUN-nmod, PROPN-nmod)	1	1.72%
NOUN(NOUN-parataxis)	1	1.72%
PRON(VERB-acl:relcl)	1	1.72%
NOUN(PROPN-conj, PROPN-nmod, PROPN-nmod)	1	1.72%
PART(PROPN-compound)	1	1.72%
PART(NOUN-compound)	1	1.72%
VERB(PART-nsubj, PUNCT-punct, VERB-xcomp)	1	1.72%
VERB(VERB-nsubj)	1	1.72%
VERB(PART-nsubj, PUNCT-punct, VERB-ccomp)	1	1.72%
PART(PART-compound)	1	1.72%
PART(VERB-compound)	1	1.72%
