Structure	Frequency	% of Lang
ADJ(AUX-cop, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	2	3.45%
VERB(PRON-nsubj, PUNCT-punct, VERB-xcomp)	2	3.45%
PUNCT(PUNCT-punct)	2	3.45%
NOUN(PROPN-appos)	2	3.45%
PROPN(PROPN-appos)	2	3.45%
VERB(AUX-cop, NOUN-nsubj, NOUN-obl, PUNCT-punct)	2	3.45%
VERB(NOUN-nsubj, NOUN-obj, PUNCT-punct, VERB-ccomp)	2	3.45%
CCONJ(VERB-conj)	2	3.45%
CCONJ(NOUN-conj)	2	3.45%
PROPN(PROPN-compound)	2	3.45%
VERB(PRON-obj)	2	3.45%
VERB(AUX-aux, NOUN-compound, NOUN-nsubj, NOUN-obl, PUNCT-punct)	2	3.45%
ADJ(AUX-aux, NOUN-nsubj, NOUN-obl, PUNCT-punct)	2	3.45%
VERB(NOUN-nsubj, NOUN-obl, NOUN-obl, PRON-expl, PUNCT-punct)	2	3.45%
NOUN(DET-det, NOUN-nmod)	2	3.45%
VERB(NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct, PUNCT-punct)	2	3.45%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, PUNCT-punct)	2	3.45%
VERB(NOUN-obj, PUNCT-punct, VERB-advcl)	2	3.45%
ADJ(NOUN-nsubj)	2	3.45%
ADJ(ADV-advmod)	2	3.45%
NOUN(NOUN-nsubj, PUNCT-punct)	2	3.45%
PROPN(PROPN-nmod)	2	3.45%
VERB(NOUN-obj)	2	3.45%
VERB(NOUN-nsubj, PROPN-obj, PUNCT-punct)	1	1.72%
VERB(NOUN-obj, NOUN-obl, PROPN-nsubj, PUNCT-punct, PUNCT-punct)	1	1.72%
NOUN(PUNCT-punct, PUNCT-punct, VERB-acl)	1	1.72%
ADJ(AUX-cop, NOUN-nsubj, NOUN-obl)	1	1.72%
ADJ(AUX-cop, NOUN-nsubj)	1	1.72%
NOUN(AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj)	1	1.72%
NOUN(ADJ-amod, AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj)	1	1.72%
VERB(NOUN-nsubj, SCONJ-amod)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl)	1	1.72%
CCONJ(PUNCT-punct, VERB-parataxis)	1	1.72%
CCONJ(NOUN-parataxis, PUNCT-punct)	1	1.72%
CCONJ(ADJ-parataxis, PUNCT-punct)	1	1.72%
NOUN(X-nmod)	1	1.72%
CCONJ(NOUN-dep, PUNCT-punct)	1	1.72%
X()	1	1.72%
VERB(NOUN-nsubj, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-iobj, NOUN-nsubj, PRON-expl, PUNCT-punct)	1	1.72%
VERB(AUX-aux:pass, NOUN-iobj, NOUN-nsubj:pass, PUNCT-punct)	1	1.72%
VERB(AUX-aux, NOUN-nsubj, NOUN-obl, PRON-obj, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-xcomp, PART-advmod, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-xcomp, VERB-conj)	1	1.72%
VERB(NOUN-nsubj, NOUN-xcomp)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, NOUN-xcomp, PUNCT-punct, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, NOUN-xcomp, PUNCT-punct)	1	1.72%
NOUN(NOUN-conj, PROPN-appos, PUNCT-punct, PUNCT-punct)	1	1.72%
PROPN(NOUN-conj, PROPN-appos, PUNCT-punct)	1	1.72%
PROPN(AUX-cop, NOUN-nsubj, PUNCT-punct)	1	1.72%
NOUN(ADJ-amod, AUX-cop, NOUN-nsubj, PUNCT-punct)	1	1.72%
NOUN(NOUN-conj, PROPN-appos, PUNCT-punct)	1	1.72%
PROPN(NOUN-nsubj, NOUN-obl)	1	1.72%
PROPN(NOUN-obj, PUNCT-punct)	1	1.72%
VERB(AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-obj, NOUN-obl, PRON-nsubj, PUNCT-punct)	1	1.72%
PROPN(PROPN-flat:name)	1	1.72%
VERB(ADP-compound:prt, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1	1.72%
VERB(ADJ-advmod, AUX-aux:pass, NOUN-nsubj:pass, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj:pass, NOUN-obl, PUNCT-punct, VERB-advcl)	1	1.72%
NOUN(AUX-cop, NOUN-nsubj, PUNCT-punct)	1	1.72%
ADV(PUNCT-punct)	1	1.72%
ADJ(ADV-advmod, AUX-cop, NOUN-nsubj, PUNCT-punct)	1	1.72%
ADJ(AUX-cop, NOUN-nsubj, PUNCT-punct, PUNCT-punct)	1	1.72%
NOUN(AUX-cop, NOUN-nmod, PUNCT-punct)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, NOUN-obl, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, PUNCT-punct, VERB-ccomp)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-ccomp)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-ccomp)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-conj)	1	1.72%
NOUN(AUX-cop, NOUN-nsubj, PUNCT-punct, VERB-ccomp)	1	1.72%
ADJ(AUX-cop, NOUN-nmod:poss, NOUN-nsubj, PUNCT-punct)	1	1.72%
NOUN(AUX-cop, NOUN-nmod:poss, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-compound:lvc, NOUN-nsubj, NOUN-obj, NOUN-obl, PUNCT-punct)	1	1.72%
NOUN(AUX-cop, NOUN-nmod, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obj, NOUN-obl:mod, PUNCT-punct)	1	1.72%
VERB(ADV-advmod, NOUN-nsubj, PUNCT-punct, VERB-xcomp)	1	1.72%
VERB(NOUN-obj, NOUN-obl:mod, PROPN-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl:mod, PUNCT-punct, VERB-xcomp)	1	1.72%
NOUN(DET-det, PUNCT-punct)	1	1.72%
NOUN(PROPN-nmod, PUNCT-punct)	1	1.72%
PROPN(DET-det, PUNCT-punct)	1	1.72%
NOUN(NOUN-nmod, PUNCT-punct)	1	1.72%
PROPN(DET-det, PROPN-parataxis)	1	1.72%
VERB(NOUN-nsubj, NOUN-xcomp:pred, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, NOUN-xcomp:pred, PUNCT-punct)	1	1.72%
VERB(NOUN-xcomp:pred, PRON-nsubj, PUNCT-punct)	1	1.72%
VERB(NOUN-xcomp:pred, PROPN-nsubj, PUNCT-punct)	1	1.72%
NOUN(AUX-cop, NOUN-nmod, PUNCT-punct, VERB-csubj:cleft)	1	1.72%
VERB(ADJ-xcomp:pred, NOUN-nsubj, NOUN-obl, PUNCT-punct)	1	1.72%
VERB(ADJ-xcomp:pred, PRON-nsubj, PUNCT-punct)	1	1.72%
NOUN(AUX-cop, PUNCT-punct, VERB-csubj:cleft)	1	1.72%
NOUN(ADJ-amod, AUX-cop, PUNCT-punct, VERB-csubj:cleft)	1	1.72%
VERB(NOUN-nsubj, PUNCT-punct, VERB-obj)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PRON-dep, PUNCT-punct)	1	1.72%
VERB(ADV-case, NOUN-nsubj, NOUN-obj, PUNCT-punct)	1	1.72%
VERB(NOUN-nsubj, NOUN-obl, PUNCT-punct, VERB-aux)	1	1.72%
NOUN(CCONJ-cc, NOUN-dep)	1	1.72%
NOUN(AUX-cop, DET-det, NOUN-nmod, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(ADV-case, PRON-nsubj)	1	1.72%
VERB(ADV-case, NOUN-obj, PUNCT-punct)	1	1.72%
VERB(ADJ-obl, ADP-obj, NOUN-obl)	1	1.72%
NOUN(ADJ-obl)	1	1.72%
ADV(ADV-advmod)	1	1.72%
ADV(ADJ-obl)	1	1.72%
PRON(ADJ-obl)	1	1.72%
ADV(NOUN-iobj)	1	1.72%
PRON(ADV-nsubj)	1	1.72%
PRON(NOUN-obl)	1	1.72%
ADJ(NOUN-nmod, NOUN-nmod)	1	1.72%
PRON(ADJ-nsubj)	1	1.72%
NOUN(ADJ-nsubj, NOUN-nmod, NOUN-nmod, NOUN-nmod)	1	1.72%
NOUN(ADJ-obl, ADP-obl, NOUN-conj, NOUN-nmod, NOUN-obl)	1	1.72%
ADJ(ADJ-obl, NOUN-nmod)	1	1.72%
CCONJ(NOUN-obj, VERB-conj)	1	1.72%
ADJ(NOUN-dislocated, NOUN-nsubj, PUNCT-punct)	1	1.72%
VERB(ADV-advcl, NOUN-dislocated, PUNCT-punct)	1	1.72%
VERB(NOUN-dislocated, NOUN-obj, PUNCT-punct)	1	1.72%
